ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
3,"Native American",2020,"2020",43194,14209.000000000002,"Franklin County, WA","05000US53021","franklin-county-wa"
3,"Native American",2020,"2020",54207,11601,"Grant County, WA","05000US53025","grant-county-wa"
3,"Native American",2020,"2020",50000,20338,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
3,"Native American",2020,"2020",64826,35661,"Island County, WA","05000US53029","island-county-wa"
3,"Native American",2020,"2020",54583,53416,"Jefferson County, WA","05000US53031","jefferson-county-wa"
3,"Native American",2020,"2020",52281,6520,"King County, WA","05000US53033","king-county-wa"
3,"Native American",2020,"2020",64464,14988,"Kitsap County, WA","05000US53035","kitsap-county-wa"
3,"Native American",2020,"2020",35202,21502,"Klickitat County, WA","05000US53039","klickitat-county-wa"
3,"Native American",2020,"2020",45294,11876,"Mason County, WA","05000US53045","mason-county-wa"
3,"Native American",2020,"2020",41343,6330,"Okanogan County, WA","05000US53047","okanogan-county-wa"
3,"Native American",2020,"2020",43708,12928,"Pend Oreille County, WA","05000US53051","pend-oreille-county-wa"
3,"Native American",2020,"2020",63848,9450,"Pierce County, WA","05000US53053","pierce-county-wa"
3,"Native American",2020,"2020",53281,11987,"Skagit County, WA","05000US53057","skagit-county-wa"
3,"Native American",2020,"2020",76250,18187,"Skamania County, WA","05000US53059","skamania-county-wa"
3,"Native American",2020,"2020",85250,11231,"Snohomish County, WA","05000US53061","snohomish-county-wa"
3,"Native American",2020,"2020",42021,6466,"Spokane County, WA","05000US53063","spokane-county-wa"
3,"Native American",2020,"2020",34570,5306,"Stevens County, WA","05000US53065","stevens-county-wa"
3,"Native American",2020,"2020",64602,27216,"Thurston County, WA","05000US53067","thurston-county-wa"
3,"Native American",2020,"2020",53375,25069,"Walla Walla County, WA","05000US53071","walla-walla-county-wa"
3,"Native American",2020,"2020",40882,9326,"Whatcom County, WA","05000US53073","whatcom-county-wa"
3,"Native American",2020,"2020",42632,10374,"Yakima County, WA","05000US53077","yakima-county-wa"
4,"Asian",2020,"2020",81510,16217.000000000002,"Adams County, WA","05000US53001","adams-county-wa"
4,"Asian",2020,"2020",90651,3867,"Asotin County, WA","05000US53003","asotin-county-wa"
4,"Asian",2020,"2020",99038,29788,"Benton County, WA","05000US53005","benton-county-wa"
4,"Asian",2020,"2020",81270,25745,"Chelan County, WA","05000US53007","chelan-county-wa"
4,"Asian",2020,"2020",51486,16525,"Clallam County, WA","05000US53009","clallam-county-wa"
4,"Asian",2020,"2020",89583,7024.999999999999,"Clark County, WA","05000US53011","clark-county-wa"
4,"Asian",2020,"2020",73889,24082,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
4,"Asian",2020,"2020",66302,11212,"Franklin County, WA","05000US53021","franklin-county-wa"
4,"Asian",2020,"2020",48977,32234,"Grant County, WA","05000US53025","grant-county-wa"
4,"Asian",2020,"2020",60156,17777,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
4,"Asian",2020,"2020",74833,10937,"Island County, WA","05000US53029","island-county-wa"
4,"Asian",2020,"2020",114303,2133,"King County, WA","05000US53033","king-county-wa"
4,"Asian",2020,"2020",71568,5403,"Kitsap County, WA","05000US53035","kitsap-county-wa"
4,"Asian",2020,"2020",58300,18891,"Kittitas County, WA","05000US53037","kittitas-county-wa"
4,"Asian",2020,"2020",91932,78873,"Klickitat County, WA","05000US53039","klickitat-county-wa"
4,"Asian",2020,"2020",71667,20569,"Lewis County, WA","05000US53041","lewis-county-wa"
4,"Asian",2020,"2020",77250,30621.999999999996,"Lincoln County, WA","05000US53043","lincoln-county-wa"
4,"Asian",2020,"2020",47000,16747,"Mason County, WA","05000US53045","mason-county-wa"
4,"Asian",2020,"2020",58380,4263,"Okanogan County, WA","05000US53047","okanogan-county-wa"
4,"Asian",2020,"2020",50536,35391,"Pacific County, WA","05000US53049","pacific-county-wa"
4,"Asian",2020,"2020",72378,5574,"Pierce County, WA","05000US53053","pierce-county-wa"
4,"Asian",2020,"2020",87778,62228,"San Juan County, WA","05000US53055","san-juan-county-wa"
4,"Asian",2020,"2020",95764,15363,"Skagit County, WA","05000US53057","skagit-county-wa"
4,"Asian",2020,"2020",107582,6092,"Snohomish County, WA","05000US53061","snohomish-county-wa"
4,"Asian",2020,"2020",56989,6637,"Spokane County, WA","05000US53063","spokane-county-wa"
4,"Asian",2020,"2020",64188,7742,"Stevens County, WA","05000US53065","stevens-county-wa"
4,"Asian",2020,"2020",66995,6233,"Thurston County, WA","05000US53067","thurston-county-wa"
4,"Asian",2020,"2020",101325,31219.999999999996,"Walla Walla County, WA","05000US53071","walla-walla-county-wa"
4,"Asian",2020,"2020",81227,13575,"Whatcom County, WA","05000US53073","whatcom-county-wa"
4,"Asian",2020,"2020",31705,17038,"Whitman County, WA","05000US53075","whitman-county-wa"
4,"Asian",2020,"2020",45389,8153,"Yakima County, WA","05000US53077","yakima-county-wa"
5,"Pacific Islander",2020,"2020",66505,12866,"Clark County, WA","05000US53011","clark-county-wa"
5,"Pacific Islander",2020,"2020",79556,43326,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
5,"Pacific Islander",2020,"2020",139034,97555,"Franklin County, WA","05000US53021","franklin-county-wa"
5,"Pacific Islander",2020,"2020",73312,10578,"King County, WA","05000US53033","king-county-wa"
5,"Pacific Islander",2020,"2020",79821,22505,"Kitsap County, WA","05000US53035","kitsap-county-wa"
